id,sus_id,name
3511409,35060,Vale do Jurumirim
3511508,35029,Itapetininga
3511607,35029,Itapetininga
3511706,35047,Piracicaba
3511904,35022,Consórcios do DRS II
3512001,35042,Norte - Barretos
3512100,35042,Norte - Barretos
3512209,35010,Araras
3512308,35046,Paulo Cuesta
3512407,35036,Limeira
3512506,35022,Consórcios do DRS II
3512605,35060,Vale do Jurumirim
3512704,35049,Rio Claro
3512803,35044,Oeste VII
3512902,35063,Votuporanga
3513009,35039,Mananciais
3513108,35009,Aquífero Guarani
3513207,35057,Três Colinas
3513306,35011,Assis
3513405,35021,Circuito da Fé e Vale Histórico
3513504,35013,Baixada Santista
3513603,35021,Circuito da Fé e Vale Histórico
3513702,35023,Coração do DRS III
3513801,35027,Grande ABC
3513850,35031,Jales
3513900,35050,Rio Pardo
3514007,35043,Norte do DRS III
3514106,35032,Jaú
3514205,35031,Jales
3514304,35023,Coração do DRS III
3514403,35004,Alta Paulista
3514502,35014,Bauru
3514601,35028,Horizonte Verde
3514700,35041,Marília
3514809,35062,Vale do Ribeira
3514908,35047,Piracicaba
3514924,35017,Catanduva
3514957,35017,Catanduva
3515004,35039,Mananciais
3515103,35039,Mananciais
3515129,35005,Alta Sorocabana
3515152,35036,Limeira
3515186,35040,Mantiqueira
3515194,35045,Ourinhos
3515202,35025,Fernandópolis
3515301,35005,Alta Sorocabana
3515350,35048,Pontal do Paranapanema
3515400,35060,Vale do Jurumirim
3515509,35025,Fernandópolis
3515608,35017,Catanduva
3515657,35041,Marília
3515707,35007,Alto do Tietê
3515806,35004,Alta Paulista
3515905,35063,Votuporanga
3516002,35001,Adamantina
3516101,35011,Assis
3516200,35057,Três Colinas
3516309,35026,Franco da Rocha
3516408,35026,Franco da Rocha
3516507,35022,Consórcios do DRS II
3516606,35041,Marília
3516705,35041,Marília
3516804,35063,Votuporanga
3516853,35019,Central do DRS III
3516903,35063,Votuporanga
3517000,35037,Lins
3517109,35022,Consórcios do DRS II
3517208,35037,Lins
3517307,35041,Marília
3517406,35042,Norte - Barretos
3517505,35053,São José do Rio Preto
3517604,35030,Itapeva
3517703,35003,Alta Mogiana
3517802,35035,Lagos do DRS II
3517901,35042,Norte - Barretos
3518008,35025,Fernandópolis
3518107,35041,Marília
3518206,35018,Central do DRS II
3518305,35007,Alto do Tietê
3518404,35021,Circuito da Fé e Vale Histórico
3518503,35029,Itapetininga
3518602,35028,Horizonte Verde
3518701,35013,Baixada Santista
3518800,35007,Alto do Tietê
3518859,35009,Aquífero Guarani
3518909,35018,Central do DRS II
3519006,35058,Tupã
3519055,35044,Oeste VII
3519071,35044,Oeste VII
3519105,35014,Bauru
3519204,35058,Tupã
3519253,35060,Vale do Jurumirim
3519303,35023,Coração do DRS III
3519402,35053,São José do Rio Preto
3519501,35011,Assis
3519600,35020,Centro Oeste do DRS III
3519709,35055,Sorocaba
3519808,35053,São José do Rio Preto
3519907,35006,Alto Capivari
3520004,35032,Jaú
3520103,35003,Alta Mogiana
3520202,35008,Alto Vale do Paraíba
3520301,35062,Vale do Ribeira
3520400,35038,Litoral Norte
3520426,35062,Vale do Ribeira
3520442,35035,Lagos do DRS II
3520509,35016,Campinas
3520608,35005,Alta Sorocabana
3520707,35025,Fernandópolis
3520806,35001,Adamantina
3520905,35045,Ourinhos
3521002,35055,Sorocaba
3521101,35049,Rio Claro
3521150,35053,São José do Rio Preto
3521200,35062,Vale do Ribeira
3521309,35002,Alta Anhanguera
3521408,35036,Limeira
3521507,35017,Catanduva
3521606,35004,Alta Paulista
3521705,35030,Itapeva
3521804,35060,Vale do Jurumirim
3521903,35017,Catanduva
3522000,35032,Jaú
3522109,35013,Baixada Santista
3522158,35030,Itapeva
3522208,35039,Mananciais
3522307,35029,Itapetininga
3522406,35030,Itapeva
3522505,35051,Rota dos Bandeirantes
3522604,35012,Baixa Mogiana
3522653,35030,Itapeva
3522703,35020,Centro Oeste do DRS III
3522802,35060,Vale do Jurumirim
3522901,35032,Jaú
3523008,35035,Lagos do DRS II
3523107,35007,Alto do Tietê
3523206,35030,Itapeva
3523305,35062,Vale do Ribeira
3523404,35034,Jundiaí
3523503,35046,Paulo Cuesta
3523602,35049,Rio Claro
3523701,35057,Três Colinas
3523800,35050,Rio Pardo
3523909,35055,Sorocaba
3524006,35034,Jundiaí
3524105,35003,Alta Mogiana
3524204,35042,Norte - Barretos
3524303,35028,Horizonte Verde
3524402,35008,Alto Vale do Paraíba
3524501,35033,José Bonifácio
3524600,35062,Vale do Ribeira
3524709,35044,Oeste VII
3524808,35031,Jales
3524907,35008,Alto Vale do Paraíba
3525003,35051,Rota dos Bandeirantes
3525102,35009,Aquífero Guarani
3525201,35034,Jundiaí
3525300,35032,Jaú
3525409,35057,Três Colinas
3525508,35015,Bragança
3525607,35006,Alto Capivari
3525706,35033,José Bonifácio
3525805,35041,Marília
3525854,35055,Sorocaba
3525904,35034,Jundiaí
3526001,35004,Alta Paulista
3526100,35062,Vale do Ribeira
3526209,35039,Mananciais
3526308,35061,Vale do Paraíba/ Região Serrana
3526407,35046,Paulo Cuesta
3526506,35035,Lagos do DRS II
3526605,35021,Circuito da Fé e Vale Histórico
3526704,35010,Araras
3526803,35014,Bauru
3526902,35036,Limeira
